pion-,           101,  101, -2,  0,  0, -1,   -211
pion+,           101,  101,  2,  0,  0,  1,    211
pion0,           101,  101,  0,  0,  0,  0,    111
kaon-,          -106, -106, -1,  0, -1, -1,   -321
kaon0 bar,      -106, -106,  1,  0, -1,  0,   -311
kaon0,           106,  106, -1,  0,  1,  0,    311
kaon+,           106,  106,  1,  0,  1,  1,    321
Neutron,           1,    1, -1,  1,  0,  0,   2112
Proton,            1,    1,  1,  1,  0,  1,   2212
Anti-Proton,      -1,   -1, -1, -1,  0, -1,  -2212
Anti-Neutron,     -1,   -1,  1, -1,  0,  0,  -2112
eta meson,       102,  102,  0,  0,  0,  0,    221
omega meson,     103,  103.  0,  0,  0,  0,    223
eta' meson,      107,  107,  0,  0,  0,  0,    331
phi meson,       109,  109,  0,  0,  0,  0,    333
Lambda1116,       41,   27,  0,  1, -1,  0,   3122
Anti-Lambda1116, -41,  -27,  0, -1,  1,  0,  -3122
Sigma1192-,       54,   40, -2,  1, -1, -1,   3112
Sigma1192+,       54,   40,  2,  1, -1,  1,   3222
Sigma1192 0,      54,   40,  0,  1, -1,  0,   3212
Anti-Sigma1192-, -54,  -40,  2, -1,  1,  1,  -3112
Anti-Sigma1192+, -54,  -40, -2, -1,  1, -1,  -3222
Anti-Sigma1192 0,-54,  -40,  0, -1,  1,  0,  -3212
Xi1317-,          63,   49, -1,  1, -2, -1,   3312
Xi1317 0,         63,   49,  1,  1, -2,  0,   3322
Anti-Xi1317 0,   -63,  -49, -1, -1,  2,  0,  -3322
Xi1317+,         -63,  -49,  1, -1,  2,  1,  -3312
Lambda1520,       43,   29,  0,  1, -1,  0,   3124
Anti-Lambda1520, -43,  -29,  0, -1,  1,  0,  -3124
Xi1530-,          64,   50, -1,  1, -2, -1,   3314
Xi1530 0,         64.   50,  1,  1, -2,  0,   3324
Anti-Xi1530 0,   -64,  -50, -1, -1,  2,  0,  -3324
Xi1530+,         -64,  -50,  1, -1,  2,  1,  -3314
Omega1672,        69,   55,  0,  1, -3, -1,   3334
Anti-Omega1672,  -69,  -55,  0, -1,  3,  1,  -3334
rho-,            104,  104, -2,  0,  0, -1,   -213
rho+,            104,  104,  2,  0,  0,  1,    213
rho0,            104,  104,  0,  0,  0,  0,    113
Delta++,          24,   17,  3,  1,  0,  2,   2224
Delta+,           24,   17,  1,  1,  0,  1,   2214
Delta0,           24,   17, -1,  1,  0,  0,   2114
Delta-,           24,   17, -3,  1,  0, -1,   1114
Anti-Delta-,     -24,  -17,  3, -1,  0,  1,  -1114
Anti-Delta0,     -24,  -17,  1, -1,  0,  0,  -2114
Anti-Delta+,     -24,  -17, -1, -1,  0, -1,  -2214
Anti-Delta++,    -24,  -17, -3, -1,  0, -2,  -2224           
